mp_name_in_dataset,house,lok_sabha_terms_asked,n_questions,official_name,mpsno,party,state,constituency,ls_terms_served,asked_term_matches_served,match_confidence,source,needs_review
Shrirang Appa Barne,Lok Sabha,"16,17,18",14,Shrirang Appa Chandu Barne,4781,Shiv Sena,Maharashtra,Maval,"16,17,18",yes,medium,sansad.in,
Sudheer Gupta,Lok Sabha,"16,17,18",14,Sudheer Gupta,4615,Bharatiya Janata Party,Madhya Pradesh,Mandsour,"16,17,18",yes,high,sansad.in,
Supriya Sadanand Sule,Lok Sabha,"16,17,18",13,Supriya Sule,4392,Nationalist Congress Party - Sharadchandra Pawar,Maharashtra,Baramati,"15,16,17,18",yes,medium,sansad.in,
Harnath Singh Yadav,Rajya Sabha,,13,Shri Harnath Singh Yadav,2403,Bharatiya Janata Party,Uttar Pradesh,,,,high,sansad.in,
Bidyut Baran Mahato,Lok Sabha,"16,17,18",12,Bidyut Baran Mahato,4705,Bharatiya Janata Party,Jharkhand,Jamshedpur,"16,17,18",yes,high,sansad.in,
Rajan Baburao Vichare,Lok Sabha,"16,17",12,Rajan Baburao Vichare,4663,Shiv Sena,Maharashtra,Thane,"16,17",yes,high,sansad.in,
Shashi Tharoor,Lok Sabha,"16,17",11,Shashi Tharoor,4569,Indian National Congress,Kerala,Thiruvananthapuram,"15,16,17,18",yes,high,sansad.in,
Rahul Kaswan,Lok Sabha,"16,17,18",10,Rahul Kaswan,4654,Indian National Congress,Rajasthan,Churu,"16,17,18",yes,high,sansad.in,
Mohammed Nadimul Haque,Rajya Sabha,,10,Shri Mohammed Nadimul Haque,2198,All India Trinamool Congress,West Bengal,,,,high,sansad.in,
Sushil Kumar Gupta,Rajya Sabha,,10,Shri Sushil Kumar Gupta,2373,Aam Aadmi Party,National Capital Territory of Delhi,,,,high,sansad.in,
Husain Dalwai,Rajya Sabha,,10,Shri Husain Dalwai,2178,Indian National Congress,Maharashtra,,,,high,sansad.in,
Vijaysinh Mohite Patil,Lok Sabha,16,10,Vijaysinh Mohite Patil,4789,Nationalist Congress Party,Maharashtra,Madha,16,yes,high,sansad.in,
Neeraj Dangi,Rajya Sabha,,9,Shri Neeraj Dangi,2477,Indian National Congress,Rajasthan,,,,high,sansad.in,
Jagdambika Pal,Lok Sabha,"16,17,18",9,Jagdambika Pal,4295,Bharatiya Janata Party,Uttar Pradesh,Domariyaganj,"15,16,17,18",yes,high,sansad.in,
Dharmendra Yadav,Lok Sabha,"16,18",9,Dharmendra Yadav,4206,Samajwadi Party,Uttar Pradesh,Azamgarh,"14,15,16,18",yes,high,sansad.in,
B.K. Hariprasad,Rajya Sabha,,9,Shri B.K. Hariprasad,985,Indian National Congress,Karnataka,,,,high,sansad.in,
Heena Vijaykumar Gavit,Lok Sabha,"16,17",9,Heena Vijaykumar Gavit,4787,Bharatiya Janata Party,Maharashtra,Nandurbar,"16,17",yes,high,sansad.in,
Dhananjay Bhimrao Mahadik,Lok Sabha,16,9,Dhananjay Bhimrao Mahadik,4767,Nationalist Congress Party,Maharashtra,Kolhapur,16,yes,high,sansad.in,
Derek O' Brien,Rajya Sabha,,8,Shri Derek O' Brien,2181,All India Trinamool Congress,West Bengal,,,,high,sansad.in,
K.R. Suresh Reddy,Rajya Sabha,,8,Shri K.R. Suresh Reddy,2464,Bharat Rashtra Samithi,Telangana,,,,high,sansad.in,
Renuka Chowdhury,Rajya Sabha,,8,Smt. Renuka Chowdhury,503,Indian National Congress,Telangana,,,,high,sansad.in,
Rajkumar Chahar,Lok Sabha,"17,18",8,Rajkumar Chahar,5142,Bharatiya Janata Party,Uttar Pradesh,Fatehpur Sikri,"17,18",yes,high,sansad.in,
Suresh Kodikunnil,Lok Sabha,"16,17,18",8,Kodikunnil Suresh,477,Indian National Congress,Kerala,Mavelikkara,"9,10,11,13,15,16,17,18",yes,high,sansad.in,
Asaduddin Owaisi,Lok Sabha,"16,17,18",8,Asaduddin Owaisi,4091,All India Majlis-E-Ittehadul Muslimeen,Telangana,Hyderabad,"14,15,16,17,18",yes,high,sansad.in,
Gajanan Chandrakant Kirtikar,Lok Sabha,"16,17",8,Gajanan Chandrakant Kirtikar,4922,Shiv Sena,Maharashtra,Mumbai North West,"16,17",yes,high,sansad.in,
Prataprao Jadhav,Lok Sabha,"16,17",8,Prataprao Ganpatrao Jadhav,4373,Shiv Sena,Maharashtra,Buldhana,"15,16,17,18",yes,medium,sansad.in,
Dushyant Singh,Lok Sabha,"16,17",8,Dushyant Singh,4005,Bharatiya Janata Party,Rajasthan,Jhalawar-Baran,"14,15,16,17,18",yes,high,sansad.in,
Raksha Nikhil Khadse,Lok Sabha,"16,17",8,Raksha Nikhil Khadse,4722,Bharatiya Janata Party,Maharashtra,Raver,"16,17,18",yes,high,sansad.in,
T. Rathinavel,Rajya Sabha,,8,Shri T. Rathinavel,2244,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,,,,high,sansad.in,
Om Birla,Lok Sabha,16,8,Om Birla,4716,Bharatiya Janata Party,Rajasthan,Kota,"16,17,18",yes,high,sansad.in,
Shivaji Adhalrao Patil,Lok Sabha,16,8,Shivaji Adhalrao Patil,4143,Shiv Sena,Maharashtra,Shirur,"14,15,16",yes,high,sansad.in,
Anandrao Adsul,Lok Sabha,16,8,Anandrao Adsul,8,Shiv Sena,Maharashtra,Amravati,"11,13,14,15,16",yes,high,sansad.in,
Rajeev Shankarrao Satav,Lok Sabha,16,8,Rajeev Shankarrao Satav,4798,Indian National Congress,Maharashtra,Hingoli,16,yes,high,sansad.in,
Chandan Mitra,Rajya Sabha,,8,Dr. Chandan Mitra,1923,Bharatiya Janata Party,Madhya Pradesh,,,,high,sansad.in,
Babubhai Jesangbhai Desai,Rajya Sabha,,7,Shri Babubhai Jesangbhai Desai,2576,Bharatiya Janata Party,Gujarat,,,,high,sansad.in,
Sanjay Seth,Rajya Sabha,,7,Shri Sanjay Seth,2351,Bharatiya Janata Party,Uttar Pradesh,,,,high,sansad.in,
Tiruchi Siva,Rajya Sabha,,7,Shri Tiruchi Siva,177,Dravida Munnetra Kazhagam,Tamil Nadu,,,,high,sansad.in,
Rahul Ramesh Shewale,Lok Sabha,"16,17",7,Shri Rahul Ramesh Shewale,4903,Shiv Sena,Maharashtra,Mumbai South Central,"16,17",yes,high,sansad.in,
Ashok Bajpai,Rajya Sabha,,7,Dr. Ashok Bajpai,2398,Bharatiya Janata Party,Uttar Pradesh,,,,high,sansad.in,
Ranjanben Dhananjay Bhatt,Lok Sabha,17,7,Ranjanben Dhananjay Bhatt,4927,Bharatiya Janata Party,Gujarat,Vadodara,"16,17",yes,high,sansad.in,
Jayadev Galla,Lok Sabha,"16,17",7,Jayadev Galla,4770,Telugu Desam Party,Andhra Pradesh,Guntur,"16,17",yes,high,sansad.in,
Ramdas Chandrabhanji Tadas,Lok Sabha,"16,17",7,Ramdas Chandrabhanji Tadas,4911,Bharatiya Janata Party,Maharashtra,Wardha,"16,17",yes,high,sansad.in,
K. R. Arjunan,Rajya Sabha,,7,Shri K. R. Arjunan,2242,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,,,,high,sansad.in,
P.R. Sundaram,Lok Sabha,16,7,P.R. Sundaram,4905,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,Namakkal,16,yes,high,sansad.in,
Anubhav Mohanty,Rajya Sabha,,7,Shri Anubhav Mohanty,2284,Biju Janata Dal,Odisha,,,,high,sansad.in,
Kanwar Deep Singh,Rajya Sabha,,7,Dr. Kanwar Deep Singh,2171,All India Trinamool Congress,West Bengal,,,,high,sansad.in,
P C Mohan,Lok Sabha,"16,18",6,P C Mohan,4321,Bharatiya Janata Party,Karnataka,Bangalore Central,"15,16,17,18",yes,high,sansad.in,
