house,variant_merged,canonical_name,reason
LS,Azad Kirti Jha,Kirti (jha) Azad,name-variant
LS,Dibyendu Adhikari,Adhikari Dibyendu,name-variant
LS,E T Mohammed Basheer,E. T. Mohammed Basheer,punctuation/casing
LS,K. C. Venugopal,K C Venugopal,punctuation/casing
LS,Kodikunnil Suresh,Suresh Kodikunnil,name-variant
LS,P. C. Mohan,P C Mohan,punctuation/casing
LS,Poonam (mahajan) Vajendla Rao,Poonam Mahajan,name-variant
LS,Prataprao Ganpatrao Jadhav,Prataprao Jadhav,name-variant
LS,Pushpendra Singh Chandel,Kunwar Pushpendra Singh Chandel,punctuation/casing
LS,Rajesh Ranjan,Rajesh Ranjan (pappu Yadav),name-variant
LS,Sambhajirao Mane Dhairyasheel,Dhairyasheel Sambhajirao Mane,name-variant
LS,Shrirang Appa Chandu Barne,Shrirang Appa Barne,name-variant
LS,Supriya Sule,Supriya Sadanand Sule,name-variant
LS,Tejasvi Surya,L.S. Tejasvi Surya,name-variant
