mp_name_official,constituency,state,party
Bishnu Pada Ray,Andaman and Nicobar Islands,Andaman And Nicobar Islands,BJP
C M Ramesh,Anakapalle,Andhra Pradesh,BJP
Chandra Sekhar Pemmasani,Guntur,Andhra Pradesh,TDP
B K Parthasarathi,Hindupur,Andhra Pradesh,TDP
Bastipati Nagaraju,Kurnool,Andhra Pradesh,TDP
Balashowry Vallabhaneni,Machilipatnam,Andhra Pradesh,JSP
Srinivasa Varma B J P Varma Bhupathiraju,Narsapuram,Andhra Pradesh,BJP
D. Purandeswari,Rajahmundry,Andhra Pradesh,BJP
Tapir Gao,Arunachal East,Arunachal Pradesh,BJP
Kiren Rijiju,Arunachal West,Arunachal Pradesh,BJP
Phani Bhusan Choudhury,Barpeta,Assam,AGP
Sarbananda Sonowal,Dibrugarh,Assam,BJP
Amarsing Tisso,Diphu,Assam,BJP
Bijuli Kalita Medhi,Guwahati,Assam,BJP
Kamakhya Prasad Tasa,Kaziranga,Assam,BJP
Joyanta Basumatary,Kokrajhar,Assam,UPPL
Pradan Baruah,Lakhimpur,Assam,BJP
Parimal Suklabaidya,Silchar,Assam,BJP
Ranjit Dutta,Sonitpur,Assam,BJP
Pradeep Kumar Singh,Araria,Bihar,BJP
Sudama Prasad,Arrah,Bihar,C
Abhay Kumar Sinha,Aurangabad,Bihar,RJD
Giriraj Singh,Begusarai,Bihar,BJP
Gopal Jee Thakur,Darbhanga,Bihar,BJP
Jitan Ram Manjhi,Gaya,Bihar,HAM (S)
Alok Kumar Suman,Gopalganj,Bihar,JD(U)
Surendra Prasad Yadav,Jahanabad,Bihar,RJD
Arun Bharti,Jamui,Bihar,L
Ramprit Mandal,Jhanjharpur,Bihar,JD(U)
Rajesh Verma,Khagaria,Bihar,L
Dinesh Chandra Yadav,Madhepura,Bihar,JD(U)
Ashok Kumar Yadav,Madhubani,Bihar,BJP
Raj Bhushan Choudhary,Muzaffarpur,Bihar,BJP
Misha Bharti,Pataliputra,Bihar,RJD
Ravi Shankar Prasad,Patna Sahib,Bihar,BJP
Radha Mohan Singh,Purvi Champaran,Bihar,BJP
Shambhavi,Samastipur,Bihar,L
Manoj Kumar,Sasaram,Bihar,INC
Lovely Anand,Sheohar,Bihar,JD(U)
Devesh Chandra Thakur,Sitamarhi,Bihar,JD(U)
Vijaylakshmi Devi,Siwan,Bihar,JD(U)
Veena Devi,Vaishali,Bihar,L
Sunil Kumar,Valmiki Nagar,Bihar,JD(U)
Tokhan Sahu,Bilaspur,Chhattisgarh,BJP
Jyotsna Charandas Mahant,Korba,Chhattisgarh,INC
Roopkumari Choudhary,Mahasamund,Chhattisgarh,BJP
Radheshyam Rathiya,Raigarh,Chhattisgarh,BJP
Brijmohan Agrawal,Raipur,Chhattisgarh,BJP
Praveen Khandelwal,Chandni Chowk,Delhi,BJP
Harsh Malhotra,East Delhi,Delhi,BJP
Bansuri Swaraj,New Delhi,Delhi,BJP
Manoj Tiwari,North East Delhi,Delhi,BJP
Yogender Chandolia,North West Delhi,Delhi,BJP
Shripad Yesso Naik,North Goa,Goa,BJP
Hasmukhbhai Somabhai Patel,Ahmedabad East,Gujarat,BJP
Bharatbhai Manubhai Sutariya,Amreli,Gujarat,BJP
Geniben Nagaji Thakor,Banaskantha,Gujarat,INC
Nimuben Jayantibhai Bambhaniya,Bhavnagar,Gujarat,BJP
Jashubhai Bhilubhai Rathva,Chhota Udaipur,Gujarat,BJP
Jaswantsinh Sumanbhai Bhabhor,Dahod,Gujarat,BJP
Amit Shah,Gandhinagar,Gujarat,BJP
Haribhai Patel,Mahesana,Gujarat,BJP
Rajpalsinh Mahendrasinh Jadav,Panchmahal,Gujarat,BJP
Bharatsinhji Shankarji Dabhi,Patan,Gujarat,BJP
Mansukh Mandaviya,Porbandar,Gujarat,BJP
Parshottambhai Rupala,Rajkot,Gujarat,BJP
Shobhanaben Mahendrasinh Baraiya,Sabarkantha,Gujarat,BJP
Mukeshkumar Chandrakaant Dalal,Surat,Gujarat,BJP
Chandubhai Chhaganbhai Shihora,Surendranagar,Gujarat,BJP
Hemang Joshi,Vadodara,Gujarat,BJP
Dhaval Laxmanbhai Patel,Valsad,Gujarat,BJP
Krishan Pal Gurjar,Faridabad,Haryana,BJP
Rao Inderjit Singh,Gurgaon,Haryana,BJP
Jai Parkash,Hisar,Haryana,INC
Manohar Lal,Karnal,Haryana,BJP
Deepender Singh Hooda,Rohtak,Haryana,INC
Kumari Selja,Sirsa,Haryana,INC
Satpal Brahamchari,Sonipat,Haryana,INC
Kangna Ranaut,Mandi,Himachal Pradesh,BJP
Mian Altaf Ahmad,Anantnag-Rajouri,Jammu And Kashmir,J&KNC
Abdul Rashid Sheikh,Baramulla,Jammu And Kashmir,Ind.
Aga Syed Ruhullah Mehdi,Srinagar,Jammu And Kashmir,J&KNC
Jitendra Singh,Udhampur,Jammu And Kashmir,BJP
