record_id,ministry,house,lok_sabha_no,session,question_no,type,date,mp_names,subject,topic_tags,answer_pdf_url
RS-Urban-S271-U2449,Housing & Urban Affairs,RS,,271,2449,Unstarred,2026-08-10,Swati Maliwal,Absence of safe cycling infrastructure in Indian cities,Black Spots & Infrastructure;Pedestrian Safety,https://sansad.in/getFile/annex/271/AU2449_Eund2t.pdf?source=pqars
LS18-Health-S8-S292,Health & Family Welfare,LS,18,8,292,Starred,2026-08-07,Giridhari Yadav,Setting up of Trauma Centres in Bihar,Trauma Care & Compensation,https://sansad.in/getFile/lsapps/loksabhaquestions/annex/188/AS292_3nfFMo.pdf?source=lsapps
LS18-Health-S8-U3373,Health & Family Welfare,LS,18,8,3373,Unstarred,2026-08-07,Pushpendra Saroj,Operationalisation of Pending Trauma Centres in Uttar Pradesh,Trauma Care & Compensation,https://sansad.in/getFile/lsapps/loksabhaquestions/annex/188/AU3373_NZ3wvt.pdf?source=lsapps
LS18-MoRTH-S8-U3173,Road Transport & Highways,LS,18,8,3173,Unstarred,2026-08-06,Shafi Parambil,Increasing Road Accidents on NH 66 in Kerala,Accidents & Fatalities,https://sansad.in/getFile/lsapps/loksabhaquestions/annex/188/AU3173_5E5m7h.pdf?source=lsapps
LS18-MoRTH-S8-U3171,Road Transport & Highways,LS,18,8,3171,Unstarred,2026-08-06,B K Parthasarathi,Cashless Treatment for Road Accident Victims,Accidents & Fatalities;Trauma Care & Compensation,https://sansad.in/getFile/lsapps/loksabhaquestions/annex/188/AU3171_BZzjhS.pdf?source=lsapps
LS18-MoRTH-S8-U3169,Road Transport & Highways,LS,18,8,3169,Unstarred,2026-08-06,Hanuman Beniwal,Accidents and Fatalities on Expressways,Accidents & Fatalities,https://sansad.in/getFile/lsapps/loksabhaquestions/annex/188/AU3169_LVfcD6.pdf?source=lsapps
LS18-MoRTH-S8-U3136,Road Transport & Highways,LS,18,8,3136,Unstarred,2026-08-06,Bastipati Nagaraju,Measures to Reduce Road Accidents,Accidents & Fatalities,https://sansad.in/getFile/lsapps/loksabhaquestions/annex/188/AU3136_OkiH0J.pdf?source=lsapps
LS18-MoRTH-S8-U3119,Road Transport & Highways,LS,18,8,3119,Unstarred,2026-08-06,Rajmohan Unnithan,Road Safety Audit of NHs in Kerala,Road Safety (General),https://sansad.in/getFile/lsapps/loksabhaquestions/annex/188/AU3119_H5HQNn.pdf?source=lsapps
LS18-MoRTH-S8-U3116,Road Transport & Highways,LS,18,8,3116,Unstarred,2026-08-06,Dulu Mahato,Black Spots on Rajganj-Govindpur NH Stretch in Dhanbad,Black Spots & Infrastructure,https://sansad.in/getFile/lsapps/loksabhaquestions/annex/188/AU3116_spRYZr.pdf?source=lsapps
LS18-MoRTH-S8-U3115,Road Transport & Highways,LS,18,8,3115,Unstarred,2026-08-06,Prabhakar Reddy Vemireddy,Rectification of Black Spots on NHs in Andhra Pradesh,Black Spots & Infrastructure,https://sansad.in/getFile/lsapps/loksabhaquestions/annex/188/AU3115_ew2ysk.pdf?source=lsapps
